Shazam Top 200 Hip-Hop/Rap
"Sunday, 12 March 2023 [performance over the past 7 days]"
Rank,Artist,Title
1,"Coi Leray","Players"
2,"Metro Boomin, The Weeknd & 21 Savage","Creepin'"
3,"Superstar Pride","PAINTING PICTURES"
4,"Cartel de Santa","Shorty Party (feat. La Kelly)"
5,"Metro Boomin, Travis Scott & Young Thug","Trance"
6,"Dreamville, Big Sean & EST Gee","Anthem (Soundtrack Version)"
7,"Eminem","Mockingbird"
8,"Lil Uzi Vert & ARIZONATEARS","Watch This (ARIZONATEARS Pluggnb Remix)"
9,"Xcho","Ты и Я"
10,"Dreamville, Bas & Black Sherif","Blood, Sweat & Tears (feat. Kel-P)"
11,"Timbaland","Give It to Me (feat. Justin Timberlake & Nelly Furtado)"
12,"Misha Xramovi","Gaichite"
13,"Juice WRLD","All Girls Are The Same"
14,"Nicki Minaj","Red Ruby Da Sleeze"
15,"Lil Uzi Vert","Just Wanna Rock"
16,"Nipsey Hussle","Last Time That I Checc’d (feat. YG)"
17,"Genrix, CORBAL & Shiloh Dynasty","Novocaine"
18,"Coolio","Gangsta's Paradise (feat. L.V.)"
19,"Bizarrap & Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52"
20,"Metro Boomin, Future & Chris Brown","Superhero (Heroes & Villains)"
21,"Ruger","Asiwaju"
22,"A.V.G & Tatar","Ножевой"
23,"Central Cee","LET GO"
24,"Ice Spice","In Ha Mood"
25,"Dr. Dre","The Watcher"
26,"Latto","Lottery (feat. LU KALA)"
27,"Baby Tate","Hey, Mickey!"
28,"Lil Baby & Fridayy","Forever"
29,"Drake & 21 Savage","Spin Bout U"
30,"21 Savage & Metro Boomin","Glock in My Lap"
31,"Azealia Banks","Luxury"
32,"Eminem","Without Me"
33,"Macklemore & Ryan Lewis","Can't Hold Us (feat. Ray Dalton)"
34,"LiL CaKe & Migrantes","MERCHO (feat. Nico Valdi)"
35,"Eminem","Superman (feat. Dina Rae)"
36,"Drake & 21 Savage","Rich Flex"
37,"Freddie Dredd","Limbo"
38,"Chasinbens","Know You Miss Me"
39,"Hamza & Damso","Nocif"
40,"Kossisko","Girls Just Wanna Have Fun"
41,"Eminem","Stan (feat. Dido)"
42,"Lil Nas X & Jack Harlow","INDUSTRY BABY"
43,"Jah Khalib","Брату"
44,"Flo Rida","Low (feat. T-Pain)"
45,"Lola Brooke","Don't Play With It (feat. Billy B)"
46,"Nipsey Hussle","Grinding All My Life"
47,"Jayo","22"
48,"Niro","Qui sait ? (feat. ElGrandeToto)"
49,"Lil Baby & Gunna","Drip Too Hard"
50,"YAKTAK","Погляд (feat. SOBOL')"
51,"Toosii","Favorite Song"
52,"Luciano & Aitch","Bamba (feat. BIA)"
53,"Drake","One Dance (feat. Wizkid & Kyla)"
54,"JAY-Z & Kanye West","Why I Love You (feat. Mr Hudson)"
55,"Yung Bleu","Ice On My Baby"
56,"Don Toliver","Private Landing (feat. Justin Bieber & Future)"
57,"Eminem","Sing For The Moment"
58,"Future","Mask Off"
59,"Oxlade","KU LO SA - A COLORS SHOW"
60,"50 Cent","In da Club"
61,"PNL","J’comprends pas"
62,"Kaspiyskiy Gruz","На белом (feat. Гио Пика)"
63,"Post Malone","rockstar (feat. 21 Savage)"
64,"Moone Walker","Lizzo"
65,"Eminem","Lose Yourself (From "8 Mile")"
66,"Puff Daddy","I'll Be Missing You (feat. Faith Evans & 112)"
67,"Mr.Rain","SUPEREROI"
68,"Genjutsu Beats","Ça flingue"
69,"JAY-Z","Empire State Of Mind (feat. Alicia Keys)"
70,"G-Eazy & Halsey","Him & I"
71,"Roddy Ricch","The Box"
72,"Wiz Khalifa","See You Again (feat. Charlie Puth)"
73,"La Caution","Thé à la menthe"
74,"Shhmody","Soul"
75,"Joseline Hernandez","Vegas (I Wanna Ride)"
76,"Post Malone","I Like You (A Happier Song) [feat. Doja Cat]"
77,"D-Block Europe","Darling"
78,"RMR","DEALER (feat. Future & Lil Baby)"
79,"Erika Lundmoen","Яд"
80,"GAULOIS","Jolie (feat. Ninho)"
81,"NLE Choppa","Do It Again (feat. 2Rare)"
82,"French Montana","Unforgettable (feat. Swae Lee)"
83,"IVOXYGEN","Young Kid"
84,"Busta Rhymes & Mariah Carey","I Know What You Want (feat. Flipmode Squad)"
85,"JAY-Z & Kanye West","Ni**as in Paris"
86,"Azzamchik","Salam Aleykum"
87,"Quavo & Takeoff","HOTEL LOBBY (Unc & Phew)"
88,"Sheck Wes","Mo Bamba"
89,"50 Cent","God Gave Me Style"
90,"NF","HOPE"
91,"Nelly & Kelly Rowland","Dilemma (feat. Kelly Rowland)"
92,"Outkast","Hey Ya!"
93,"Baby Keem & Kendrick Lamar","family ties"
94,"Latto","Big Energy"
95,"Macklemore & Ryan Lewis","Thrift Shop (feat. Wanz)"
96,"Dr. Dre","The Next Episode (feat. Snoop Dogg)"
97,"Ace Hood","Bugatti (feat. Future & Rick Ross)"
98,"A$AP Rocky","Praise The Lord (Da Shine) [feat. Skepta]"
99,"Fugees","Killing Me Softly With His Song"
100,"The Living Tombstone","My Ordinary Life"
101,"Genrix, CORBAL & Shiloh Dynasty","So Low"
102,"Coi Leray","Players (DJ Smallz 732 - Jersey Club Remix)"
103,"6ix9ine","MALA (feat. Anuel AA)"
104,"Armani White","BILLIE EILISH."
105,"Kendrick Lamar","Money Trees (feat. Jay Rock)"
106,"Future","WAIT FOR U (feat. Drake & Tems)"
107,"NF","The Search"
108,"Burna Boy","Common Person"
109,"Jul","Brouncha"
110,"Eminem","The Real Slim Shady"
111,"Timbaland","Apologize (feat. OneRepublic)"
112,"Liim's","Hat Trick"
113,"A Boogie wit da Hoodie","Look Back at It"
114,"Big Boss Vette","Pretty Girls Walk"
115,"Mustard & Roddy Ricch","Ballin’"
116,"Hitkidd, Gloss Up & K Carbon","Shabooya (feat. Slimeroni & Aleza)"
117,"Tayc","N'y pense plus"
118,"Coi Leray","Players (DJ Saige Remix)"
119,"2Pac & Outlawz","Hit 'Em Up (Live)"
120,"Mostro & Il Tre","Delusioni"
121,"B4TU INC.","Merve (Masada Chivas)"
122,"Post Malone","Circles"
123,"ArrDee & Cat Burns","Home For My Heart"
124,"1nonly & SXMPRA","Step Back!"
125,"Pitbull","Go Girl (feat. Trina & Young Boss)"
126,"Metro Boomin & Future","Too Many Nights (feat. Don Toliver) [ChoppedNotSlopped]"
127,"Nicki Minaj","Super Freaky Girl"
128,"Ice Cube","It Was A Good Day"
129,"Hr-Muisc1","خضره بحب بلدي واهل بلدي"
130,"House of Pain","Jump Around"
131,"The Notorious B.I.G.","Big Poppa"
132,"Yeat","Monëy so big"
133,"Masked Wolf","Astronaut In The Ocean"
134,"Gucci Mane, Bruno Mars & Kodak Black","Wake Up in the Sky"
135,"Landy","Maybach (feat. Gazo)"
136,"Kendrick Lamar, SZA","All The Stars"
137,"Travis Scott","sdp interlude"
138,"Kid Ink","Be Real (feat. Dej Loaf)"
139,"Matteo Paolillo - Icaro, Lolloflow & Clara","ORIGAMI ALL'ALBA - CLARA"
140,"Jakone, A.V.G, BAGARDI & Goro","С тобой"
141,"Finesse","Gelosa (feat. Shiva, Sfera Ebbasta & Guè)"
142,"24kGoldn","Mood (feat. iann dior)"
143,"SXMPRA","COWBELL WARRIOR!"
144,"Guè","Mollami Pt.2"
145,"The Weeknd, Kendrick Lamar","Pray For Me"
146,"Burna Boy","For My Hand (feat. Ed Sheeran)"
147,"Flo Rida","Right Round (feat. Ke$ha)"
148,"Hensonn","Sahara"
149,"Logic","Self Medication (feat. Seth MacFarlane, Redman & Statik Selektah)"
150,"Armani White & Denzel Curry","GOATED."
151,"50 Cent","Just a Lil Bit"
152,"2 Chainz & Wiz Khalifa","We Own It (Fast & Furious)"
153,"Nicki Minaj","Starships"
154,"Peezy","2 Million Up"
155,"Jack Harlow","First Class"
156,"Eminem","Not Afraid"
157,"Post Malone & Swae Lee","Sunflower (Spider-Man: Into the Spider-Verse)"
158,"Kendrick Lamar","LOVE. (FEAT. ZACARI.)"
159,"Warren G","Regulate (feat. Nate Dogg)"
160,"Megan Thee Stallion","Pressurelicious (feat. Future)"
161,"Quavo","Greatness"
162,"Eminem","Love The Way You Lie (feat. Rihanna)"
163,"SDM","Bolide allemand"
