Shazam Top 200 Turkey Chart
"Sunday, 12 March 2023 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kerim Araz & Sevgim Yılmaz","Dayanamıyorum"
2,"Dj Belite","All Eyes on Me"
3,"B4TU INC.","Merve (Masada Chivas)"
4,"Kougan Ray","Yabani (feat. Aşkın Nur Yengi)"
5,"Nil Karaibrahimgil","Ben Aptal Mıyım"
6,"Madonna","Back That Up To The Beat (demo version)"
7,"Dedublüman & Mavzer Tabancas","Belki (feat. Mavzer Tabancas)"
8,"Sezen Aksu","Çocuklar Gibi"
9,"Mabel Matiz","Fırtınadayım"
10,"Nilüfer","Son Arzum"
11,"Dedublüman & Çağrı Çelik","Gamzedeyim Deva Bulmam"
12,"Coi Leray","Players"
13,"Can Toğrulca","Yaz Gülü"
14,"Semicenk & Reynmen","Yana Yana"
15,"Dedublüman","Belki (Akustik)"
16,"RAYE & 070 Shake","Escapism."
17,"Kahraman Deniz","Garezi Var"
18,"Koma Berxwedan","Kurdno Yanabin"
19,"Güneş","NKBİ"
20,"Cakal, Arem Ozguc & Arman Aydin","Diyardan Diyara"
21,"Alok & Alan Walker","Headlights (feat. KIDDO)"
22,"Aydilge","Aşk Paylaşılmaz"
23,"Tom Odell","Another Love"
24,"Buray & Ceren Gündoğdu","Beni Affet"
25,"Can Kazaz","Bunca Yıl"
26,"Furkan Soysal","Ragga Clap"
27,"Luciano & Aitch","Bamba (feat. BIA)"
28,"Xcho","Ты и Я"
29,"Cem Adrian","Duymak İstiyorum"
30,"Demircan","Arabada Gaz Pedal"
31,"Halodayı","Özür"
32,"Neşet Ertaş","Sanki Sam Yelisin Estin Bağıma"
33,"Francis Lai, Jean Delannoy, Michel Boisrond & Terence Young","La leçon particulière"
34,"Miley Cyrus","Flowers"
35,"Misha Xramovi","Gaichite"
36,"Lady Gaga","Bloody Mary"
37,"ronixd, Leopanforte & lusttqwe","Lvbel C5 Senden İnsaf Diler Yarın"
38,"Mavi Gri & Ahmet Hatipoğlu","Ölümle Yaşam Arasında"
39,"Conan Gray","Memories"
40,"Semicenk","Sevecek Sandım"
41,"Stromae","Tous les mêmes"
42,"Tekir","Ağlaya Ağlaya"
43,"Heijan & Muti","İmparator"
44,"Rema","Calm Down"
45,"Canozan","Toprak Yağmura (Akustik)"
46,"Defkhan & Sagopa Kajmer","Onlarla Konusuyorum"
47,"İrem Derici","Yaz Gülü"
48,"The Weeknd","After Hours"
49,"Adele","Set Fire to the Rain"
50,"BLOK3","AFFETMEM"
51,"Hirai Zerdüş","Yara Bere"
52,"Manu Chao","Me Gustas Tu"
53,"yungcihad, Qimp & Swirf","Yala Dedi Yalama"
54,"Troth","Don't Lose Hope"
55,"Camila Cabello","Shameless"
56,"Bengü & Mustafa Ceceli","Zaman"
57,"Ali Kınık","Zemheri"
58,"Ali Kayir & GRUP DIYAN","Granî 2022"
59,"Nahide Babashli","Unuttun Mu Beni"
60,"Göksel","Acıyor"
61,"D-Block Europe","Darling"
62,"PNL","J’comprends pas"
63,"BLOK3","VUR"
64,"Metro Boomin, The Weeknd & 21 Savage","Creepin'"
65,"Selcan","Senden Adam Olmaz"
66,"Burcu Güneş","Anıları Yak"
67,"Barış Diri","Derinden / bazen hayat çok kötü gidiyor ve ben onu nasıl anlatacağımı bilemiyorum"
68,"SZA","Kill Bill"
69,"Eminem","Mockingbird"
70,"Semicenk","Unutmak Öyle Kolay Mı Sandın"
71,"Gazapizm & Melike Şahin","Olur Mu"
72,"Burak Bulut","Cano"
73,"Juice WRLD","All Girls Are The Same"
74,"Grup Seyran","Fottik Halay Potbori"
75,"Shakira","Whenever, Wherever"
76,"Cem Adrian","Keskin"
77,"Simge","Aşkın Olayım"
78,"Jengi","Bel Mercy"
79,"PinkPantheress & Ice Spice","Boy's a liar Pt. 2"
80,"DEHA INC. & Reckol","TALIBANA"
81,"Cash Flow","Eski Köye Yenisin"
82,"ROJ LİNE","Uzi Söyle Sunam (Mix)"
83,"Sibel Can","Yeni Aşkım"
84,"UZI","ZOR"
85,"Müslüm Gürses","Seni Yazdım"
86,"Mert Demir & Mabel Matiz","Antidepresan"
87,"Freddie Dredd","Limbo"
88,"Muti, UZI, Critical & Heijan","LE CANE"
89,"DJ DALI","Baglami"
90,"twenty one pilots","Stressed Out"
91,"Nicki Minaj, Maluma & Myriam Fares","Tukoh Taka (feat. FIFA Sound) [Official FIFA Fan Festival™Anthem]"
92,"Beach House","Space Song"
93,"Chicago Seven","Как дела нормально"
94,"Lvbel C5","DACIA"
95,"Ati242","25"
96,"Rei 6","Ah Canım Sevgilim (Demo)"
97,"Krobak","It's Snowing Like It's the End of the World"
98,"Sakiler & Oğuzhan Koç","Yalanı Bırak"
99,"Demet Tekin","Bekle Ey Sevgili"
100,"Hande Ünsal","Sen Yokken"
101,"Aerosmith","Dream On"
102,"Hünkar Göksu","Kafa Duman"
103,"Mustafa Al-Ritimi","مصطفي الرتيمي لحن حزين"
104,"David Guetta & Bebe Rexha","I'm Good (Blue)"
105,"Dedublüman","Sakladığın Bir Şeyler Var"
106,"Dj Belite","All Eyez On Me"
107,"Kibariye","Arada Bir"
108,"Chris Isaak","Wicked Game"
109,"Miguel","Sure Thing"
110,"Vagón","Ama Bana Bakma Öyle"
111,"Stephen Sanchez & Em Beihold","Until I Found You (Em Beihold Version)"
112,"Sevcan Orhan","Yar Elde Kaldıktan Sonra"
113,"HEDEGAARD & Cancun","All Designer"
114,"KÖFN","Bi' Tek Ben Anlarım"
115,"Anıl Emre Daldal","M."
116,"Madrigal","Dip"
117,"Servet Tunç","Yaz Gülü (feat. Can Toğrulca)"
118,"Henrique Camacho & Fatality","Sevilla"
119,"Oliver Tree & Robin Schulz","Miss You"
120,"Madrigal","Senden Yoksun"
121,"Sam Smith & Kim Petras","Unholy"
122,"Sefo & Jako","kördüğüm"
123,"Teoman","Serseri"
124,"Bs Prod Beats","Zeliha - Yaz Gülü"
125,"Gazapizm","Sanki Bir Halkın"
126,"Sparky Deathcap","September"
127,"Slowboy, lucaf. & Crazy Mano","Brazilian Phonk Mano (Super Slowed)"
128,"Sezen Aksu","Unuttun mu Beni"
129,"Rap Angels","Yahşi Cazibe"
130,"Mark Eliyahu & Cem Adrian","Kül"
131,"Daddy Yankee","Gasolina"
132,"Timbaland","Give It to Me (feat. Justin Timberlake & Nelly Furtado)"
133,"Can Koç","Gökyüzünü Tutamam"
134,"İbrahim Tatlıses","Eyvah Neye Yarar"
135,"Dean Valentine","Vladimir's Theme"
136,"Seyyid Taleh Boradigahi","Balam Lay-Lay"
137,"Duck Sauce","Big Bad Wolf (Mixed)"
138,"İkiye On Kala","Depresyon Güzelim"
139,"Müslüm Gürses","Kısmetim Kapanmış"
140,"Izzamuzzic & Julien Marchal","Shootout"
141,"Sezen Aksu","Firuze"
142,"Ati242","Inzaghi"
143,"Cem Adrian & Emir Can İğrek","Bana Unutmayı Anlat"
144,"Laura Branigan","Self Control"
145,"Reckol & Cakal","O Yeterdi Aslında"
146,"Sami Yusuf","Nasimi (Live)"
147,"Sunday Scaries & PiCKUPLiNES","Chill Like That"
148,"Sibel Can","Diken Mi Gül Mü? (feat. Eypio)"
149,"Rammstein","Sonne"
150,"Tuğçe Kandemir","Yanlış"
151,"Murat Dalkılıç & Feride Hilal Akın","CAN"
152,"Ufuk Beydemir","HİÇ"
153,"Eda Sakiz & İrem Derici","Papatya"
154,"Rakhim","Look At Me Habibi"
155,"Koma Amed","Tesi"
156,"RAYE & 070 Shake","Escapism. (Sped Up)"
157,"Gökhan Türkmen","Çatı Katı"
158,"UZI & Critical","Davetiye"
159,"Metro Boomin, Travis Scott & Young Thug","Trance"
160,"Yaşlı Amca","Hep De Yorgun (Extended)"
161,"Cem Kısmet","Haram Geceler"
162,"G-Eazy & Halsey","Him & I"
163,"Ermenita","Sekret (Remix)"
164,"Tuğkan","Özledim"
165,"Patron","Sevdik de noldu sanki"
166,"FILV & Emma Peters","Clandestina (feat. Edmofo) [JVSTIN Remix]"
167,"Semicenk","Masal Gibi"
168,"La Caution","Thé à la menthe"
169,"Balmorhea","Remembrance"
170,"The Weeknd","Call Out My Name"
171,"Ados","Yıkılır"
172,"Yasemin Mori","Aslında Bir Konu Var"
173,"Funda Arar","Boşver"
174,"Velet","Aşk Sadece Anlayana"
175,"حمادة نشواتي","Shakle Habetek"
176,"The Irrepressibles","In This Shirt"
177,"Isabel LaRosa","i'm yours sped up"
178,"Ayra Starr","Rush"
179,"Elley Duhé","MIDDLE OF THE NIGHT"
180,"Marshall","Ateşten Gömlek speed up"
181,"Mac DeMarco","Chamber of Reflection"
182,"Ludovico Einaudi, Daniel Hope & I Virtuosi Italiani","Experience"
183,"Aykut Closer","Up In"
184,"Zakkum","Seni Rastgele Sevmedim"
185,"Will Harrison","Baptized and Buried"
186,"Black Eyed Peas, Anitta & El Alfa","SIMPLY THE BEST"
187,"Sezen Aksu","Kusura Bakma"
188,"Sezen Aksu","Zalim"
189,"g3ox_em","GigaChad Theme (Phonk House Version)"
190,"Lil Uzi Vert & ARIZONATEARS","Watch This (ARIZONATEARS Pluggnb Remix)"
191,"Crystal Castles","Kerosene"
192,"Naz Dej","Tuttur Dur (feat. Elsen Pro)"
193,"Maher Zain","Ya Nabi Salam Alayka (Arabic Version - Bonus Track)"
194,"Müslüm Gürses","Sende Kalmış (İnsanlar)"
195,"Never Get Used To People","Life Letters"
196,"Ömer Bükülmezoğlu","Cry"
197,"Amin Bani","Che Kardi"
198,"Farazi","Unutulanlar"
199,"Amy Winehouse","Back To Black"
200,"XSoundBeatz","Zehra Melody"
