Shazam Top 50 AfroBeats
"Saturday, 11 March 2023 [performance over the past 7 days]"
Rank,Artist,Title
1,"Libianca","People"
2,"Libianca","People (feat. Ayra Starr & Omah Lay)"
3,"Rema","Holiday"
4,"Vacra","Tiki Taka"
5,"Afara Tsena","Afro Mbokalisation"
6,"D Jay","Morning Stress"
7,"Iyanya","One Side"
8,"Camidoh, Mayorkun & DARKOO","Sugarcane (feat. King Promise) [Remix]"
9,"CKay","Love Nwantiti (ah ah ah) [feat. Joeboy & Kuami Eugene] [Remix]"
10,"Bayanni","Ta Ta Ta (Mixed)"
11,"Victor Thompson","THIS YEAR (Blessings) [feat. Ehis 'D' Greatest]"
12,"Wizkid","Joro"
13,"Andre Soueid","Calm Down"
14,"DJ Neptune & Ruger","Bienvenue"
15,"Ayanne","Aroukoutou"
16,"Goya Menor & Nektunez","Ameno Amapiano Remix (You Wanna Bamba)"
17,"Lojay & Sarz","Monalisa (Mixed)"
18,"Omah Lay","soso (Mixed)"
19,"Lwah Ndlunkulu","Ngiyeza"
20,"Young Jonn","Xtra Cool (Mixed)"
21,"General Ithachi","TCHOUKOUDOUKOU"
22,"Jay Melody","Sawa"
23,"Rexxie, Naira Marley & Skiibii","Abracadabra"
24,"Daliwonga","Abo Mvelo (feat. Mellow & Sleazy & M.J) [Mixed]"
25,"Diamond Platnumz","Yatapita"
26,"Toofan","C pas normal"
27,"Dertay","Ma Came"
28,"Fireboy DML & Asake","Bandana (Mixed)"
29,"Bobyto","NINA"
30,"Jinmi Abduls","Saro"
31,"DJ Baddo","Gau"
32,"CKay","Emiliana (Mixed)"
33,"CKay","love nwantiti (ah ah ah)"
34,"Shoday","Maradona"
35,"Voltage Of Hype & Dj Dabila","Amapiano Breakfast"
36,"Magic System","1er Gaou"
37,"Patoranking","Abobi"
38,"Burna Boy","On the Low"
39,"Alikiba","Mahaba"
40,"Jay Melody","Nitasema"
41,"Yarden","Wetin"
42,"Jay Melody","Nakupenda"
43,"Gyakie & Omah Lay","Forever (Remix)"
44,"Afrosounds","Big Brother Naija Mix 2022 Vol.1"
45,"Zley","People (Cover)"
46,"Iyanya, Mayorkun & Tekno","One Side (Remix)"
47,"S'Villa","Jehovah (feat. Zuma)"
48,"Vinny06","The Drum (Mixed)"
49,"Lojay","MOTO"
50,"Victony & Tempoe","Soweto (Mixed)"
